Country,Gold,Silver,Bronze
USA,2638,1641,1358
Russia,1599,1170,1178
Germany,1301,1195,1260
UK,678,739,651
Italy,575,531,531
France,501,610,666
Sweden,479,522,535
Canada,463,438,451
Hungary,432,332,371
Norway,378,361,294
Australia,368,459,522
China,351,349,293
Netherlands,287,340,413
Japan,247,309,357
South Korea,221,232,185
Finland,198,270,432
Denmark,179,241,177
Switzerland,175,248,268
Cuba,164,129,116
Romania,161,200,292
Serbia,157,222,160
India,138,19,40
Czech Republic,123,262,259
Poland,117,195,253
Spain,110,243,136
Brazil,109,175,191
Austria,108,186,156
Belgium,98,197,173
Argentina,91,92,91
New Zealand,90,56,82
Greece,62,109,84
Croatia,58,54,37
Bulgaria,54,144,144
Ukraine,47,52,100
Pakistan,42,45,34
Turkey,40,27,28
Jamaica,38,75,44
Kenya,34,41,31
South Africa,32,47,52
Uruguay,31,2,30
Mexico,30,26,54
Belarus,24,44,71
Nigeria,23,30,46
Ethiopia,22,9,22
Kazakhstan,20,25,32
Cameroon,20,1,1
Iran,18,21,29
Zimbabwe,17,4,1
North Korea,16,16,35
Slovakia,15,19,13
Bahamas,14,11,15
Estonia,13,12,25
Fiji,13,,
Indonesia,11,17,13
Uzbekistan,10,7,17
Ireland,9,13,13
Thailand,9,8,13
Slovenia,8,13,27
Georgia,8,6,18
Azerbaijan,7,12,25
Trinidad,7,8,22
Egypt,7,8,12
Lithuania,6,7,48
Morocco,6,5,12
Colombia,5,9,14
Algeria,5,4,8
Portugal,4,11,26
Luxembourg,4,4,
Taiwan,3,28,18
Latvia,3,19,13
Chile,3,9,20
Tunisia,3,3,7
Dominican Republic,3,2,2
Mongolia,2,10,14
Armenia,2,5,9
Venezuela,2,3,10
Uganda,2,3,2
Liechtenstein,2,2,5
Peru,1,14,
Vietnam,1,3,
Puerto Rico,1,2,6
Syria,1,2,2
Israel,1,1,7
Haiti,1,1,5
Individual Olympic Athletes,1,1,3
Costa Rica,1,1,2
Tajikistan,1,1,2
Bahrain,1,1,1
Ivory Coast,1,1,1
Burundi,1,1,
Ecuador,1,1,
Grenada,1,1,
Panama,1,,2
Mozambique,1,,1
Suriname,1,,1
United Arab Emirates,1,,1
Jordan,1,,
Kosovo,1,,
Nepal,1,,
Paraguay,,17,
Iceland,,15,2
Montenegro,,14,
Malaysia,,11,5
Namibia,,4,
Philippines,,3,7
Moldova,,3,5
Lebanon,,2,2
Sri Lanka,,2,
Tanzania,,2,
Ghana,,1,22
Saudi Arabia,,1,5
Qatar,,1,4
Kyrgyzstan,,1,2
Niger,,1,1
Zambia,,1,1
Botswana,,1,
Curacao,,1,
Cyprus,,1,
Gabon,,1,
Guatemala,,1,
Senegal,,1,
Sudan,,1,
Tonga,,1,
"Virgin Islands, US",,1,
Afghanistan,,,2
Kuwait,,,2
Barbados,,,1
Bermuda,,,1
Djibouti,,,1
Eritrea,,,1
Guyana,,,1
Iraq,,,1
Macedonia,,,1
Mauritius,,,1
Monaco,,,1
Togo,,,1
